"Nhóm","ID","Nhãn","Kiểu","Đã lưu","Giá trị đang lưu","Giá trị mặc định"
"Home Portal v3","portal_newsletter_desc","Mô tả bản tin","textarea","Có","Kiến thức chăm sóc da, hoạt chất đáng chú ý và cập nhật từ Pharma Cosmetics.","Kiến thức chăm sóc da, hoạt chất đáng chú ý và cập nhật từ Pharma Cosmetics."
"Header & Điều hướng","use_banner_top","Sử dụng banner top","checkbox","Có","false","false"
"Header & Điều hướng","banner_top.jpg","Banner top","image","Chưa","",""
"Header & Điều hướng","alt_banner_top","Alt ảnh","text","Chưa","","Banner top"
"Header & Điều hướng","color_banner_top","Màu nền banner top","color","Có","#3cb371","#3CB371"
"Header & Điều hướng","link_banner_top","Link ảnh","text","Chưa","","/collections/all"
"Header & Điều hướng","header_bg_enable","Dùng?","checkbox","Có","false","true"
"Header & Điều hướng","bg_header.jpg","Ảnh nền đầu trang","image","Chưa","",""
"Header & Điều hướng","bg_header","Màu nền header","color","Chưa","","#3CB371"
"Header & Điều hướng","txt_header","Màu chữ header","color","Có","#ffffff","#ffffff"
"Header & Điều hướng","header_topbar_text","Text đầu trang","textarea","Có","Giao Hàng Toàn Quốc | Trị Liệu Da Cá Nhân Hóa Chuẩn Y Khoa","Giảm 5% cho tất cả đơn hàng;Miễn phí vận chuyển đơn hàng trên 1tr5"
"Header & Điều hướng","use_download","Hiển thị khu vực tải ứng dụng","checkbox","Chưa","",""
"Header & Điều hướng","text_app_down","Tiêu đề","text","Chưa","","Tải ứng dụng"
"Header & Điều hướng","cont_app_down_1","Nội dung 1","textarea","Chưa","","<strong>Tải ứng dụng ngay với nhiều ưu đãi</strong>"
"Header & Điều hướng","cont_app_down_2","Nội dung 2","textarea","Chưa","",""
"Header & Điều hướng","use_app_1","Hiển thị","checkbox","Chưa","","true"
"Header & Điều hướng","icon-googleplay.png","Icon Google Play","image","Chưa","",""
"Header & Điều hướng","app_1_alt","Alt ảnh","text","Chưa","","Google Play"
"Header & Điều hướng","app_1_url","Đường dẫn","text","Chưa","","https://play.google.com/store/apps/"
"Header & Điều hướng","use_app_2","Hiển thị","checkbox","Chưa","","true"
"Header & Điều hướng","icon-applestore.png","Icon App Store","image","Chưa","",""
"Header & Điều hướng","app_2_alt","Alt ảnh","text","Chưa","","App Store"
"Header & Điều hướng","app_2_url","Đường dẫn","text","Chưa","","https://apps.apple.com/"
"Header & Điều hướng","logo.png","Logo","image","Chưa","",""
"Header & Điều hướng","logo_share.png","Logo chia sẻ mạng xã hội","image","Chưa","",""
"Header & Điều hướng","header_search_default_key","Nhập từ khóa","textarea","Có","","Bổ thận;Giảm cân;Hạ sốt;Tim mạch;Ung Thư"
"Header & Điều hướng","header_stores_enable","Hiển thị khối?","checkbox","Có","false","true"
"Header & Điều hướng","header_stores_title","Nhập tiêu đề hệ thống cửa hàng hoặc liên hệ","text","Có","Hệ thống","Xem hệ thống"
"Header & Điều hướng","header_stores_sub","Tiêu đề phụ","text","Có","8 nhà thuốc","8 cửa hàng"
"Header & Điều hướng","header_stores_url","Nhập nhập liên kết","text","Chưa","","/he-thong-cua-hang"
"Header & Điều hướng","header_search_suggest","Hiển thị gợi ý tìm kiếm","checkbox","Có","true","true"
"Header & Điều hướng","header_search_gg_title","Nhập tiêu đề giảm giá","textarea","Có","Tặng tinh dầu dưỡng tóc Moroccanoil Treatment Phiên Bản Giới Hạn trị giá 1tr4 cho hoá đơn mua hàng từ 4tr","Giảm 500.000đ cho đơn đầu tiên từ 1.500.000đ - Nhập BUY2025"
"Header & Điều hướng","header_search_gg_url","Nhập đường dẫn giảm giá","text","Có","https://pharmacosmetics-vn.com/moroccanoil-treatment-dau-duong-toc-phien-ban-gioi-han-tet-nguyen-dan","#"
"Header & Điều hướng","header_search_suggest_title","Nhập tiêu đề tìm kiếm","text","Có","Đề xuất phổ biến","Tìm kiếm nhiều nhất"
"Header & Điều hướng","header_search_suggest_list","Nhập các từ khoá tìm kiếm. Các từ khoá cách nhau bằng dấu phẩy (,). Ví Dụ: Bổ thận,Giảm cân,Hạ sốt,Tim mạch,Ung Thư","textarea","Có","Chống nắng lên tone,Kem dưỡng sáng cho da nhạy cảm,Điều hoà nội tiết,Giảm cân,Chống nắng nội sinh","Sửa bột,Sữa nước,Ăn dặm dinh dưỡng,Sức khỏe và Vitamin,Thời trang trẻ em,Đồ chơi học tập"
"Header & Điều hướng","header_search_recent","Hiển thị tìm kiếm gần đây (Lịch sử tìm kiếm)","checkbox","Có","true","true"
"Header & Điều hướng","header_search_smart","Hiển thị Tìm kiếm thông minh","checkbox","Có","true","true"
"Header & Điều hướng","main_menu","Menu chính","link_list","Có","main-menu",""
"Header & Điều hướng","display_megamenu","Hiển thị megamenu","checkbox","Có","true","true"
"Header & Điều hướng","megamenu_items","Thành phần trong megamenu","text","Có","sản phẩm","sản phẩm"
"Header & Điều hướng","icon_menu_order.png","Icon đặt hàng nhanh","image","Chưa","",""
"Header & Điều hướng","color_txt_order","Màu chữ đặt hàng nhanh","color","Chưa","","#be1f2e"
"Header & Điều hướng","titel_cus_order","Tiêu đề","text","Chưa","","Đặt hàng nhanh"
"Header & Điều hướng","btn_promotion_enable","Hiển thị nút Khuyến mãi HOT?","checkbox","Có","false","false"
"Header & Điều hướng","btn_promotion_title","Tiêu đề nút","text","Có","TÍCH ĐIỂM ĐỔI QUÀ","Yêu Khuyến mãi HOT"
"Header & Điều hướng","btn_promotion_url","Đường dẫn nút","text","Có","/apps/tich-diem-doi-qua","#"
"Header & Điều hướng","search_order.png","Icon cho nút","image","Chưa","",""
"Header & Điều hướng","header_live_enable","Hiển thị?","checkbox","Có","false","true"
"Header & Điều hướng","header_live_title","Tiêu đề nút","text","Chưa","","Live"
"Header & Điều hướng","header_live_url","Id video youtube","text","Có","OgHyhNC4ExA","#"
"Header & Điều hướng","header_nav_title","Tiêu đề","text","Có","Danh mục","Danh mục sản phẩm"
"Header & Điều hướng","header_nav_cate","Danh mục sản phẩm","link_list","Có","main-menu",""
"Header & Điều hướng","cate-icon.png","Ảnh Danh mục mặc định (khi danh mục > 15)","image","Chưa","",""
"Header & Điều hướng","cate-icon-1.png","Ảnh Danh mục 1","image","Chưa","",""
"Header & Điều hướng","cate-icon-2.png","Ảnh Danh mục 2","image","Chưa","",""
"Header & Điều hướng","cate-icon-3.png","Ảnh Danh mục 3","image","Chưa","",""
"Header & Điều hướng","cate-icon-4.png","Ảnh Danh mục 4","image","Chưa","",""
"Header & Điều hướng","cate-icon-5.png","Ảnh Danh mục 5","image","Chưa","",""
"Header & Điều hướng","cate-icon-6.png","Ảnh Danh mục 6","image","Chưa","",""
"Header & Điều hướng","cate-icon-7.png","Ảnh Danh mục 7","image","Chưa","",""
"Header & Điều hướng","cate-icon-8.png","Ảnh Danh mục 8","image","Chưa","",""
"Header & Điều hướng","cate-icon-9.png","Ảnh Danh mục 9","image","Chưa","",""
"Header & Điều hướng","cate-icon-10.png","Ảnh Danh mục 10","image","Chưa","",""
"Header & Điều hướng","cate-icon-11.png","Ảnh Danh mục 11","image","Chưa","",""
"Header & Điều hướng","cate-icon-12.png","Ảnh Danh mục 12","image","Chưa","",""
"Header & Điều hướng","cate-icon-13.png","Ảnh Danh mục 13","image","Chưa","",""
"Header & Điều hướng","cate-icon-14.png","Ảnh Danh mục 14","image","Chưa","",""
"Header & Điều hướng","cate-icon-15.png","Ảnh Danh mục 15","image","Chưa","",""
"Header & Điều hướng","header_gradient","Bật gradient header","checkbox","Có","#126644 url(https://bizweb.dktcdn.net/100/506/650/files/hoatiettet7-5ed27993-e689-4218-a05f-bd135b449c85.png?v=1710085847557);",""
"Header & Điều hướng","col_gradient","Bật gradient collection","checkbox","Có","linear-gradient(to right, #ea4420, rgba(234, 68, 32, 0.8), rgba(234, 68, 32, 0.3), rgba(234, 68, 32, 0))",""
"Header & Điều hướng","header_topbar_promo_1","Nội dung topbar promo 1","text","Có","<p>Nhận MIỄN PHÍ* <strong><a href=""#"" title=""Giao hàng"">giao hàng</a></strong> cho tất cả đơn hàng trên 1 triệu - áp dụng có hạn.</p>",""
"Header & Điều hướng","header_topbar_promo_2","Nội dung topbar promo 2","text","Có","<p>Nhận ƯU ĐÃI* <strong><a href=""#"" title=""đặc biệt"">đặc biệt</a></strong> từ các chương  trình khuyến mãi mới nhất</p>",""
"Header & Điều hướng","header_topbar_promo_3","Nội dung topbar promo 3","text","Có","",""
"Trang chủ","home_section_1","Module 1","select","Có","section_hero",""
"Trang chủ","home_section_2","Module 2","select","Có","section_portal_split",""
"Trang chủ","home_section_3","Module 3","select","Có","section_solutions",""
"Trang chủ","home_section_4","Module 4","select","Có","section_flash_sale",""
"Trang chủ","home_section_5","Module 5","select","Có","section_featured_products",""
"Trang chủ","home_section_6","Module 6","select","Có","section_spa",""
"Trang chủ","home_section_7","Module 7","select","Có","section_brand_marquee",""
"Trang chủ","home_section_8","Module 8","select","Có","section_testimonials",""
"Trang chủ","home_section_9","Module 9","select","Có","section_ingredients",""
"Trang chủ","home_section_10","Module 10","select","Có","section_portal_blog",""
"Trang chủ","home_section_11","Module 11","select","Có","section_portal_social",""
"Trang chủ","home_section_12","Module 12","select","Có","section_portal_newsletter",""
"Trang chủ","home_section_13","Module 13","select","Có","none",""
"Trang chủ","home_section_14","Module 14","select","Có","none",""
"Trang chủ","home_section_15","Module 15","select","Có","none",""
"Trang chủ","home_section_16","Module 16","select","Có","none",""
"Trang chủ","home_section_17","Module 17","select","Có","none",""
"Trang chủ","home_section_18","Module 18","select","Có","none",""
"Trang chủ","home_hero_badge","Badge (nhãn nhỏ phía trên tiêu đề)","text","Có","Dược mỹ phẩm toàn cầu · Chuẩn y khoa","Phòng Lab Công Nghệ Cao"
"Trang chủ","home_hero_title","Tiêu đề chính (H1)","text","Có","Làn da của bạn
là một hồ sơ khoa học
riêng biệt.","Dược mỹ phẩm chuẩn y khoa"
"Trang chủ","home_hero_desc","Mô tả","textarea","Có","Chúng tôi phân tích cấu trúc da, thiết lập phác đồ cá nhân hoá và đồng hành cùng bạn trên hành trình cải thiện sức khỏe làn da.","Phác đồ điều trị cá nhân hóa dựa trên phân tích cấu trúc da thực tế. Chúng tôi kết hợp tinh hoa khoa học và sự an yên trong chăm sóc."
"Trang chủ","home_hero_btn1_text","Nội dung nút 1","text","Có","Đặt lịch phân tích da","Soi da & Tư vấn miễn phí"
"Trang chủ","home_hero_btn1_url","Đường dẫn nút 1","text","Có","/dat-lich-tu-van","/dat-lich-tu-van"
"Trang chủ","home_hero_btn2_text","Nội dung nút 2","text","Có","Chọn theo vấn đề da","Mua sắm theo thành phần"
"Trang chủ","home_hero_btn2_url","Đường dẫn nút 2","text","Có","#section_solutions","/mua-sam-theo-thanh-phan"
"Trang chủ","home_hero_image","Ảnh Hero desktop","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1137941/assets/screenshot-2026-06-22-155834-d46675ce-d207-4b65-8d90-529e1f165b4d.png?1782118883116",""
"Trang chủ","home_hero_mobile_image","Ảnh Hero mobile","image","Chưa","",""
"Trang chủ","home_hero_image_2","Ảnh Hero desktop 2 (carousel)","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1133122/assets/thie-t-ke-chu-a-co-te-n-10-b77ff059-3336-41a0-b58a-2b466432cb53.jpg?1780649446617",""
"Trang chủ","home_hero_image_3","Ảnh Hero desktop 3 (carousel)","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1133122/assets/thie-t-ke-chu-a-co-te-n-11-37bae7e1-518c-4a34-9e4f-d5e964b56cc6.jpg?1780649541368",""
"Trang chủ","home_hero_image_4","Ảnh Hero desktop 4 (carousel)","image","Chưa","",""
"Trang chủ","home_hero_image_5","Ảnh Hero desktop 5 (carousel)","image","Chưa","",""
"Trang chủ","home_flashsale_title","Tiêu đề","text","Có","Flash Sale hôm nay","FLASH <span>SALE</span>"
"Trang chủ","home_flashsale_collection","Chọn danh mục sản phẩm","collection","Có","flash-sale-1",""
"Trang chủ","home_flashsale_limit","Giới hạn sản phẩm","text","Có","20","5"
"Trang chủ","home_flashsale_countdown_enable","Sử dụng đồng hồ đếm ngược","checkbox","Có","true","true"
"Trang chủ","home_flashsale_countdown_title","Tiêu đề","text","Chưa","","Thời gian khuyến mãi:"
"Trang chủ","home_flashsale_countdown_end","Thời gian khuyến mãi","text","Có","07-05-2026-09-15-45","12-25-2023-09-15-45"
"Trang chủ","home_flashsale_countdown_cycle_hours","Chu kỳ lặp lại (giờ)","text","Có","24","24"
"Trang chủ","count_down_bg","Màu nền đồng hồ đếm ngược","color","Có","#E35D5D","#E35D5D"
"Trang chủ","promo_coupon_home_enable","Hiện dải mã giảm giá trong Flash Sale","checkbox","Có","false","false"
"Trang chủ","home_solutions_title","Tiêu đề","text","Có","Giải pháp cho từng vấn đề","Giải pháp cho từng vấn đề"
"Trang chủ","home_solutions_subtitle","Tiêu đề phụ","text","Có","Chúng tôi phân loại sản phẩm dựa trên nhu cầu điều trị thực tế để bạn dễ dàng tìm thấy phác đồ phù hợp.","Chúng tôi phân loại sản phẩm dựa trên nhu cầu điều trị thực tế để bạn dễ dàng tìm thấy phác đồ phù hợp."
"Trang chủ","home_solutions_menu","Menu giải pháp da","link_list","Có","",""
"Trang chủ","home_solutions_1_enable","Hiển thị?","checkbox","Có","true","true"
"Trang chủ","home_solutions_1_image","Hình ảnh","image","Có","https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80",""
"Trang chủ","home_solutions_1_label","Tên nhóm","text","Có","Mụn trứng cá",""
"Trang chủ","home_solutions_1_url","Từ khoá tìm kiếm","text","Có","mun trung ca",""
"Trang chủ","home_solutions_2_enable","Hiển thị?","checkbox","Có","true","true"
"Trang chủ","home_solutions_2_image","Hình ảnh","image","Có","https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?auto=format&fit=crop&w=600&q=80",""
"Trang chủ","home_solutions_2_label","Tên nhóm","text","Có","Nám & tàn nhang",""
"Trang chủ","home_solutions_2_url","Từ khoá tìm kiếm","text","Có","nam tan nhang",""
"Trang chủ","home_solutions_3_enable","Hiển thị?","checkbox","Có","true","true"
"Trang chủ","home_solutions_3_image","Hình ảnh","image","Có","https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?auto=format&fit=crop&w=600&q=80",""
"Trang chủ","home_solutions_3_label","Tên nhóm","text","Có","Da khô, thiếu ẩm",""
"Trang chủ","home_solutions_3_url","Từ khoá tìm kiếm","text","Có","da kho thieu am",""
"Trang chủ","home_solutions_4_enable","Hiển thị?","checkbox","Có","true","true"
"Trang chủ","home_solutions_4_image","Hình ảnh","image","Có","https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80",""
"Trang chủ","home_solutions_4_label","Tên nhóm","text","Có","Lão hóa da",""
"Trang chủ","home_solutions_4_url","Từ khoá tìm kiếm","text","Có","lao hoa da",""
"Trang chủ","home_solutions_5_enable","Hiển thị?","checkbox","Có","true","true"
"Trang chủ","home_solutions_5_image","Hình ảnh","image","Có","https://images.unsplash.com/photo-1576426863848-c21f53c60b19?auto=format&fit=crop&w=600&q=80",""
"Trang chủ","home_solutions_5_label","Tên nhóm","text","Có","Kiểm soát dầu thừa",""
"Trang chủ","home_solutions_5_url","Từ khoá tìm kiếm","text","Có","dau thua mun",""
"Trang chủ","home_solutions_6_enable","Hiển thị?","checkbox","Có","true","true"
"Trang chủ","home_solutions_6_image","Hình ảnh","image","Có","https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&w=600&q=80",""
"Trang chủ","home_solutions_6_label","Tên nhóm","text","Có","Da nhạy cảm",""
"Trang chủ","home_solutions_6_url","Từ khoá tìm kiếm","text","Có","da nhay cam",""
"Trang chủ","home_brand_menu","Menu thương hiệu marquee","link_list","Có","",""
"Trang chủ","home_brand_marquee_image_1","Logo thương hiệu 1","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_2","Logo thương hiệu 2","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_3","Logo thương hiệu 3","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_4","Logo thương hiệu 4","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_5","Logo thương hiệu 5","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_6","Logo thương hiệu 6","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_7","Logo thương hiệu 7","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_8","Logo thương hiệu 8","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_9","Logo thương hiệu 9","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_10","Logo thương hiệu 10","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_11","Logo thương hiệu 11","image","Chưa","",""
"Trang chủ","home_brand_marquee_image_12","Logo thương hiệu 12","image","Chưa","",""
"Trang chủ","home_spa_title","Tiêu đề","text","Có","Khoa học vì làn da của bạn — phác đồ 1:1, không công thức chung.","Trị liệu chuyên sâu cho từng tế bào"
"Trang chủ","home_spa_desc","Mô tả","textarea","Chưa","","Kết hợp giữa công nghệ y khoa tân tiến nhất và sự tận tâm của đội ngũ chuyên gia, chúng tôi kiến tạo lộ trình điều trị riêng biệt cho làn da bạn."
"Trang chủ","home_spa_service_1_title","Tên hạng mục","text","Có","CHĂM SÓC DA DUY TRÌ","Peeling chuyên sâu"
"Trang chủ","home_spa_service_1_desc","Mô tả","text","Có","Làm sạch sâu, cấp ẩm và đưa da về trạng thái cân bằng. Phù hợp duy trì 1–2 lần/tháng để da khoẻ ổn định quanh năm.","Thanh tẩy đa tầng, tái cấu trúc bề mặt da mịn màng."
"Trang chủ","home_spa_service_1_url","Link dịch vụ 1","text","Có","/duong-am",""
"Trang chủ","home_spa_service_2_title","Tên hạng mục","text","Có","ĐIỀU TRỊ NHẮM MỤC TIÊU","Phục hồi hàng rào bảo vệ"
"Trang chủ","home_spa_service_2_desc","Mô tả","text","Có","Tập trung xử lý sẹo, mụn, thâm và nám. Phác đồ được xây dựng riêng cho từng loại tổn thương, không dùng công thức chung cho tất cả.","Cấp ẩm tức thì và củng cố hệ miễn dịch tự nhiên của da."
"Trang chủ","home_spa_service_2_url","Link dịch vụ 2","text","Có","/tri-mun",""
"Trang chủ","home_spa_service_3_title","Tên hạng mục","text","Có","ĐIỀU TRỊ XÂM LẤN ","Liệu trình Mesotherapy"
"Trang chủ","home_spa_service_3_desc","Mô tả","text","Có","Đưa dưỡng chất trực tiếp vào lớp da giữa bằng kim vi điểm. Da tự sản sinh collagen nhiều hơn, cải thiện nếp nhăn và chảy xệ rõ rệt sau 3–5 buổi.","Đưa dưỡng chất trực tiếp vào hạ bì, mang lại hiệu quả vượt trội."
"Trang chủ","home_spa_service_3_url","Link dịch vụ 3","text","Có","/dieu-tri-chuyen-nghiep",""
"Trang chủ","home_spa_btn_text","Nội dung nút","text","Có","Về Skin Health Beauty","Xem tất cả dịch vụ"
"Trang chủ","home_spa_btn_url","Đường dẫn nút","text","Có","/skin-health-beauty","/dat-lich-tu-van"
"Trang chủ","home_spa_img_1","Ảnh lớn","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1133122/assets/thie-t-ke-chu-a-co-te-n-2026-06-07t091358-126-2aca1d86-da9c-48d2-82d0-f962a91e999a.png?1780798021752",""
"Trang chủ","home_spa_img_2","Ảnh nhỏ 1","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1133122/assets/thie-t-ke-chu-a-co-te-n-2026-06-05t161601-791-e61b26fc-d19c-4f9c-9a4e-45db97efc7b5.png?1780650501268",""
"Trang chủ","home_spa_img_3","Ảnh nhỏ 2","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1133122/assets/thie-t-ke-chu-a-co-te-n-2026-06-05t162702-458-dfdb81c1-d59d-4ca2-a186-23a8d93daeab.png?1780650501268",""
"Trang chủ","home_spa_img_4","Ảnh nhỏ 3","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1133122/assets/thie-t-ke-chu-a-co-te-n-2026-06-05t163118-758-a954caa5-9a86-4561-8b8a-d5a7ad15ae1b.png?1780650501268",""
"Trang chủ","home_why_eyebrow","Eyebrow (dòng nhỏ trên tiêu đề)","text","Chưa","","Tại sao chọn chúng tôi"
"Trang chủ","home_why_title","Tiêu đề","text","Chưa","","Chuyên gia đồng hành cùng lộ trình của bạn"
"Trang chủ","home_why_quote","Câu trích dẫn","textarea","Chưa","","Làn da là tấm gương phản chiếu sức khỏe. Hãy chăm sóc bằng khoa học."
"Trang chủ","home_why_cite","Người nói / chức danh","text","Chưa","","Chuyên gia Nguyễn Hoàng Anh — Giám đốc chuyên môn"
"Trang chủ","home_why_quote_img","Ảnh quote card","image","Chưa","",""
"Trang chủ","home_why_1_icon","Icon class (Font Awesome)","text","Chưa","","fas fa-user-md"
"Trang chủ","home_why_1_title","Tiêu đề","text","Chưa","","Chuyên gia tư vấn trực tiếp"
"Trang chủ","home_why_1_desc","Mô tả","textarea","Chưa","","Mọi sản phẩm đều được kê đơn dựa trên tình trạng da thực tế qua các buổi tư vấn 1:1 với đội ngũ chuyên gia."
"Trang chủ","home_why_2_icon","Icon class (Font Awesome)","text","Chưa","","fas fa-certificate"
"Trang chủ","home_why_2_title","Tiêu đề","text","Chưa","","100% Chính hãng"
"Trang chủ","home_why_2_desc","Mô tả","textarea","Chưa","","Cam kết nguồn gốc xuất xứ rõ ràng từ các tập đoàn dược phẩm hàng đầu thế giới."
"Trang chủ","home_why_3_icon","Icon class (Font Awesome)","text","Chưa","","fas fa-flask"
"Trang chủ","home_why_3_title","Tiêu đề","text","Chưa","","Clinical Results"
"Trang chủ","home_why_3_desc","Mô tả","textarea","Chưa","","Hơn 10.000 ca điều trị thành công các vấn đề về mụn, nám và lão hóa chuyên sâu với kết quả được kiểm chứng lâm sàng."
"Trang chủ","home_why_cta_text","Nội dung nút","text","Có","Đặt lịch tư vấn miễn phí","Đặt lịch tư vấn miễn phí"
"Trang chủ","home_why_cta_url","Đường dẫn nút","text","Có","/dat-lich-tu-van","/dat-lich-tu-van"
